name,link,release_date,expiry_date,hours,para
"Childhood Obesity: Prevention and Treatment from Conception to Adolescence, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 19, 2018","ugust 31, 2021","Judi Daniels, PhD, APRN","Evidence indicates that many risk factors of childhood obesity can be identified during the period of conception to 2 years of age. It is critical that nurses working with children and families understand the nutritional needs of children in each developmental stage to positively affect prevention efforts and promote healthy eating patterns early in life. This course reviews factors from the prenatal period through late adolescence that contribute to obesity and challenges faced when promoting healthy nutrition with each age group. Food choices, modeling behaviors and socio-cultural and environmental influences are discussed. Evidence-based treatment approaches are presented."
Common Pediatric Sleep Issues and Disorders,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 26, 2018","ebruary 28, 2021","Margaret-Ann Carno, PhD, MBA, MJ, CPNP, D,ABSM, FAAN","Sleep difficulties can occur in up to 50% of all children in the Unites States. Yet only 5% of children in a national chart review received a treatment recommendation for a sleep disorder and children with a sleep disorder had significantly more sick visits/calls than those who did not have a sleep problem. Sleep disturbances and issues have been shown to be correlated with obesity, behavioral problems in school and other somatic issues. This course will provide the essential pathophysiology, symptoms, diagnostic procedures and treatment modalities for common sleep disorders which effect the pediatric population. It is geared toward all nurses regardless of level of education and/or practice."
Common Chronic Health Conditions Associated with Aging,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 18, 2017","ay 31, 2020",CCMs - This program has been pre-approved by the Commission for Case Manager Certification to provide continuing education credit (3 hours) to Certified Case Managers (CCMs).,"This course is designed to assist healthcare professionals in encouraging, teaching, and guiding older adults with chronic conditions to practice healthy lifestyles. This course explores common chronic conditions associated with aging, and discusses how healthcare professionals can help older adults manage these conditions and enhance health. Included is a look at the emotional effects of coping with loss, disability, and chronic conditions. Depression and bereavement are described, along with the stages of grief and methods of distinguishing among them. Because the incidence of cancer increases with age, preventive cancer screening and prevention guidelines for older adults are presented. Prevention, treatment of, and coping with such common problems as hearing loss, hypertension, and incontinence are also discussed. Because stroke, arthritis, and osteoporosis all have the potential to negatively affect functional status, these conditions are also reviewed to help promote healthy aging."
Chronic Cardiovascular Conditions,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 19, 2017","anuary 31, 2020","Leanne H. Fowler, DNP, MBA, AGACNP-BC, CNE, ","Because of the prevalence of cardiovascular disease, nurses must be equipped with the knowledge and skills to aid in its reduction. Recognizing patients at risk for cardiovascular disease and taking the initiative to educate patients of the behavioral and nonbehavioral cardiovascular risk factors can enhance other primary prevention strategies aimed to control the prevalence of the disease. In addition to nursing education used as a primary prevention strategy, nurses must also be aware of secondary prevention therapies aimed to minimize the burdens of known disease and complications associated with cardiovascular disease."
"Cognitive Therapy: Theory, Techniques, and Applications, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ebruary 23, 2019","ebruary 23, 2022","Jennifer Housley, MS, PhD","This intermediate-level course provides an understanding of the theoretical underpinnings of Cognitive Therapy and a brief history of its evolution prior to describing specific cognitive techniques that are used both within Cognitive Therapy and Cognitive Behavioral Therapy. This course for marriage and family therapists, and counselors reviews a foundational understanding of cognitive theory and techniques that can be used either within manualized Cognitive Therapies or to bolster therapeutic skills within other treatment frameworks."
Working with Fearful and Anxious Dental Patients,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ly 11, 2017","uly 10, 2020","Original Release Date: May 9, 2011","The purpose of this intermediate-level course is to familiarize the dentist and every member of the dental team with nonpharmacological techniques and strategies for guiding and supporting fearful dental patients. The course will address the nature and prevalence of dental fear and how to identify and guide the fearful patient. The learner will be made aware of the ways in which his or her own behavior, demeanor, and appearance, as well as the ambiance of the dental office, may contribute to dental fear."
"Vitamins, Minerals, and the Oral Cavity, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 21, 2011","28, 2016","Expiration Date: July 27, 2019","The importance of a balanced, nutritious diet to the health of the human body is widely recognized. However, significant numbers of people do not have properly balanced diets and many compensate for this deficiency by ingesting supplemental vitamins and minerals. Most of the common pronouncements with regard to the health benefits of vitamins and minerals address systemic health, but despite its importance to oral health, the relationship of dietary intake and vitamins to the health of the oral cavity is rarely discussed. To fully grasp the role of vitamins in the health of the oral cavity, it is necessary to understand the nature and characteristics of vitamins and minerals and their actions within the body. This basic-level course seeks to remedy this information deficiency and provide dentists, hygienists, and assistants with information on the effect vitamins and minerals have on oral health."
"Three Drug Classes Every Dentist Should Know: Module III - Local Anesthetics, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 2, 2019","ctober 30, 2021","Original Release Date: September 4, 2015","Oral healthcare professionals are routinely involved with the selection and prescription of Local Anesthetics to address orofacial pain. Upon completing this intermediate-level course, the learner will be able to discuss the differences among Local Anesthetics typically prescribed for orofacial pain This updated 2018 edition incorporates the findings of these latest research papers as well as current guidelines from regulatory and professional authorities, while continuing to emphasize the founding principles of appropriate Local Anesthetics prescribing. "
"Update of Concepts in Vital Tooth Whitening, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 3, 2010","2, 2016","Expiration Date: June 1, 2019","Vital tooth whitening is an aesthetic and conservative treatment for discolored teeth. The popularity of vital tooth whitening has increased dramatically in recent years, as shown by the increased number of products and procedures introduced, ranging from at-home tray whitening and trayless whitening techniques - both dentist prescribed and over the counter (OTC) - to in-office 1-hour whitening systems. Recent years have also seen the rise of nondental options for vital tooth whitening. The increasing number of vital tooth-whitening techniques and materials has created a clinical challenge for dentists and other oral health providers seeking to balance effectiveness and safety. Proper patient selection for vital tooth whitening becomes even more important in this environment."
"Three Drug Classes Every Dentist Should Know: Module II - Analgesics, 2nd edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 2, 2019","ctober 30, 2021","Original Release Date: September 4, 2015","Oral healthcare professionals are routinely involved with the selection and prescription of analgesics to address orofacial pain. Upon completing this intermediate-level course, the learner will be able to discuss the differences among analgesics typically prescribed for orofacial pain This updated 2018 edition incorporates the findings of these latest research papers as well as current guidelines from regulatory and professional authorities, while continuing to emphasize the founding principles of appropriate analgesic prescribing."
"Three Drug Classes Every Dentist Should Know: Module I - Antibiotics, 2nd edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 2, 2019","ctober 30, 2021","Original Release Date: September 4, 2015","Across the United States, dentists prescribe 10.4% of all outpatient antibiotics, making them the top antibiotic prescribers after primary care physicians. After completing this intermediate-level course, the participant will be able to discuss the differences among antibiotics typically prescribed for orofacial infections. The principles learned will also be directly applicable to the appropriate selection of antimicrobial therapy for the pregnant or breastfeeding patient and will aid in recognizing those patients with a significant allergic history and how to best and safely treat them."
"Three Drug Classes Every Dental Professional Should Know, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"tober 30, 2018","ctober 30, 2021","Original Release Date: March 16, 2016","Oral healthcare professionals (OHCPs) are routinely involved with the selection and prescription of medications for their patients. This course is designed to help them become better-informed prescribers of the top three drug classes employed in dentistry: antibiotics, analgesics, and local anesthetics. This intermediate-level course is specifically designed for all members of the dental healthcare team: dentists, dental hygienists, and dental assistants. Since the goal of providing medication in dentistry is to ensure selection of the right drug at the right time and at the right dose for the right patient and the right procedure, the information presented in this course should be considered essential knowledge for all OHCPs, both seasoned and newly credentialed."
Third Molar Surgery 2nd Edition,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","ber 3, 2016","Expiration Date: November 2, 2019","Treatment philosophy toward extraction of third molars (wisdom teeth) varies in different developed countries. It ranges from observation in many countries in Europe to a prophylactic removal approach in the United States. A more proactive stance on often asymptomatic wisdom teeth extraction takes into consideration chronic inflammation that is related to the impacted wisdom teeth and its influence on the patient's overall health; age of the patient; relative ease of early extraction (before full root development); difficulty of removal/type of impaction; and proximity to the inferior alveolar nerve, lingual nerve, and maxillary sinus. Such preventive surgical treatment can be done under local anesthesia, oral sedation with or without nitrous oxide inhalation sedation or intravenous sedation, with the level of sedation corresponding to the nature of the surgery and the patient's level of anxiety about the procedure."
The Role of Oral Microbial Infections in Oral Cancer,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 12, 2018","uly 12, 2021","Karen D. Hallisey, DMD","Head and neck cancer refers to a group of biologically similar cancers that start in the lip, oral cavity, nasal cavity, paranasal sinuses, nasopharynx, and larynx. About 40% of head and neck cancers occur in the oral cavity, 15% in the pharynx, 25% in the larynx, and the remaining 20% are in the salivary glands and thyroid. Overall, they account for more than 500,000 cases annually worldwide. This advanced-level course will examine the risk factors, causes, and recent research associated with these cancers."
The Influence of Periodontal Treatment on Systemic Disease,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 23, 2016","eptember 22, 2019","Veronica Powers, DMD, ","Periodontal disease affects millions of Americans and is associated with a variety of systemic diseases. Although periodontal therapy has been shown to decrease bacterial load and inflammation, it can be difficult to determine if periodontal therapy has a direct effect on overall general health due to the chronic nature of systemic diseases, the multifactorial nature of systemic and periodontal diseases, the variability of host responses, and the subjectivity of defining periodontal disease. However periodontal treatment can lower levels of oral bacteria, several systemic disease endpoints, and markers of inflammation, and hence does influence systemic diseases."
"The Impact of Vascular and Cardiovascular Diseases on Oral Health, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 27, 2010","8, 2016","Expiration Date: July 7, 2019","The oral presentation of microvascular diseases such as diabetes is well documented, but many common cardiovascular conditions, including ischemic heart disease, also present with oral manifestations. In addition, patients with specific vascular diseases, such as granulomatosis with polyangiitis (formerly called Wegener's granulomatosis), may present with pathognomonic oral lesions. A thorough understanding of the potential oral side effects of therapeutic agents commonly used to treat cardiovascular diseases is very helpful in overall patient management."
"The Hypertensive Patient: Classification and Management, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 25, 2017","anuary 24, 2020","Original Release Date: July 31, 2013","Hypertension affects approximately one third of all adults in the United States. Understanding the types, effects, and treatments of hypertension is essential to anticipating how hypertension may affect the dental patient. Many patients may experience an elevation in blood pressure at the time of their visit as the result of fear and anxiety related to dental treatment. In addition, certain pharmacologic therapies for hypertension have side effects of oral significance."
"The Care of Removable Prosthetic Devices, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"anuary 31, 2017","anuary 30, 2020",Original,"This basic-level course describes current recommendations on the benefits of using denture adhesives. The course discusses the advantages and disadvantages of various denture cleansing methods. Health risks and recommendations associated with wearing dentures overnight are discussed, and methods for proper denture storage are outlined and reviewed. This course can help dentists, dental hygienists, and dental assistants improve the health and quality of life of their patients who wear dentures."
Temporomandibular Joint Disorders and Their Radiographic Diagnostic Criteria,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ugust 17, 2016","ugust 16, 2019","Veronica Powers, DMD, ","Temporomandibular joint (TMJ) disorder is an umbrella term used to describe conditions with differing etiologies that cause pain and dysfunction of the TMJ and structures related to mastication. Pain is the most important symptom in TMJ dysfunction for both the patient and the clinician, and is the main reason why patients with TMJ disorders (TMJD) seek medical help. The multifactorial TMJD etiology may be related to trauma, masticatory muscular dysfunction, postural deviation, internal and external changes in TMJ structure, and the various associations of these factors."
Social Determinants of Pediatric Oral Health,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ovember 8, 2018","ovember 8, 2021","Karen D. Hallisey, DMD","This intermediate-level course will provide an overview of the significant effect of the social determinants of oral health on children, including socioeconomic status (SES), family structure, social environment, culture and healthcare delivery systems. The course will also examine the significant oral health inequalities that exist among children and the importance of social environment on oral health outcomes."
Simplifying Endodontics for Greater Predictability and Ease of Treatment,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"eptember 21, 2016","eptember 20, 2019","Brian C. Warner, DMD, ","Advances in the endodontic arena have elevated the quality of endodontic treatment that can be provided and have improved the long-term prognosis for the teeth treated. Rotary instrumentation, when introduced in the 1990s, enabled the standardization of canal preparations. Newly developed reciprocating files have improved upon traditional rotary files with respect to increased cyclic fatigue resistance and reduction in fracture. More recently, adhesive dentistry has moved into the endodontic realm with obturation materials that resist leakage. Bioceramic materials show promise in improving root canal sealing and reducing bacterial microleakage. Primary root canal therapy can expect a success rate of between 75.6% and 92.5%, depending on the preoperative status of the pulp. The desire for 100% successful endodontics has led to the development of new materials and methods. Each product is designed to help reduce treatment complications and improve outcomes."
Reduction of Bioaerosol in the Dental Office 2nd Edition,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","mber 19, 2016","Expiration Date: September 18, 2019","Globally, viral, bacterial, and fungal diseases have been emerging at an alarming rate since the 1980s. Among the most worrisome are bloodborne diseases such as AIDS, caused by HIV, and viral hepatitis B, C, D, and G. Antibiotic-resistant strains of bacteria and fungus are increasing in frequency and are becoming more resistant to the currently available antimicrobial agents. The best approach to reducing the risk of infection transmissions in the dental office is the use of universal precautions. This method includes the standard precautions of hand washing, use of personal protective equipment, proper cleaning and disinfection, and injury prevention. However, even with these precautions in place, the bioaerosol generated during dental procedures is responsible for the dissemination of many organisms."
"Reducing Patient Stress: Nonpharmacological Methods, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","8, 2016","Expiration Date: July 7, 2019","One of the most difficult challenges facing today's dental practitioner is convincing the public of the necessity for routine dental care. Although there may be many reasons for patients not seeking routine care (or any treatment other than emergency intervention), the most commonly cited reasons are fear of pain and anxiety about the treatment."
"Risk Factors in Periodontal Disease, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 31, 2013","er 6, 2016","Expiration Date: October 5, 2019","Despite advances in oral health care, nearly half of adults in the United States suffer from some form of periodontal disease, making this disease second in prevalence only to obesity. Periodontal disease has a significant impact on the health and well-being of those affected and is the most common cause of tooth loss among adults."
"Radiation: Review of Radiographic & Processing Techniques for Dental X-Rays, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"bruary 17, 2017","ebruary 16, 2020","Original Release Date: July 30, 2013","The use of high-speed film, rare-earth intensifying screens, digital radiography, rectangular collimation, long tubes, and other radiographic equipment and techniques have made radiographic use in the dental office easier and safer for dental professionals and patients. Both conventional and digital radiology continue to play an important role in the practice of dentistry, and the field of dental radiology evolves with advances in technology and techniques that cut patient radiation exposure dramatically."
"Recurrent Aphthous Stomatitis: A Review for Dental Professionals, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","mber 7, 2016","Expiration Date: September 6, 2019","Recurrent aphthous stomatitis (RAS) - also known as recurrent aphthous ulcerations, aphthous ulcerations, and canker sores - is a chronic inflammatory disease that is characterized by painful oral ulcers that recur with varying frequency. Although the etiology of RAS is multifactorial, it has been linked to decreased levels of folic acid and other hematologic deficiencies, including deficiencies in vitamin B12, iron, and ferritin. Hematologic deficiencies may be a significant risk factor for RAS."
"Recurrent Aphthous Ulceration: Epidemiology, Differential Diagnosis, and Therapy",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 18, 2016","uly 17, 2019","Ronald S. Brown, DDS, MS, Dipl ABOM, FAOM (HON), FACD, FICD, ","Recurrent aphthous ulceration (RAU), also known as recurrent aphthous stomatitis and canker sores, is a common oral ulceration condition. RAU is widely considered to be a chronic inflammatory condition that affects approximately 20% of the population. These lesions tend to be episodic and may repeatedly arise over time in otherwise healthy individuals. RAU is a common lesion that presents to all clinical dentists. It is important for dentists to be knowledgeable concerning this pathologic condition in order to alleviate patients' concerns and pain."
"Prescription Drug Abuse: Prevention and Management in West Virginia, Updated 1st Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ly 11, 2018","uly 11, 2021","Original Release Date: May 22, 2015","National concern is growing regarding the rise in prescription drug abuse in the United States. This basic-level course will provide an overview of the problem of prescription drug abuse in the United States and in West Virginia. By becoming familiar with the pharmacology of the most commonly abused drugs, the risk factors for developing addictive behaviors, and the manner in which these medications are commonly acquired, dental providers will be positioned to curb prescribing practices that contribute to this growing problem and will be better able to serve their patients and their communities as informed prevention advocates."
"Radiation Health, Safety and Protection, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 31, 2013","ber 11, 2016","Expiration Date: November 10, 2019","Understanding the forms of radiation and the risks and effects associated with dental radiography is essential to providing the highest quality of care to the dental patient. Appropriate for all dental professionals, this basic-level course outlines radiation risk, the effects of exposure to ionizing radiation, and the measurement and regulation of radiation dose. The course discusses the ALARA concept, its application in dentistry, and best practices to reduce radiation exposure to the dental patient."
"Provisional Restorations: Uses, Materials, and Techniques",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"arch 14, 2017","arch 13, 2020","Paola Cohen Imach, DDS, ","Provisional restorations are an essential and sometimes underutilized tool in the diagnosis, treatment planning, and execution phase of restorative dental treatment. In the everyday practice of dentistry, provisional restorations provide practitioners with essential information for achieving a successful treatment outcome. However, the fabrication of provisional restorations requires knowledge and understanding not only of the clinical steps and procedures involved but also of the properties of the necessary dental materials used to perform them. "
"Protecting Patient Safety in the Dental Office: Preventing Errors, Updated 1st Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ly 7, 2017","uly 6, 2020","Original Release Date: November 10, 2014","This basic-level course discusses the current state of medical/dental errors and patient safety. Along with highlighting the different types and causes of medical/dental errors, strategies to prevent or control medical/dental errors are presented, and methods of identifying, analyzing, and reporting medical/dental errors are discussed. The course is intended for all dental professionals, including general dentists and dental specialists, dental hygienists, and dental assistants. This course is not designed to give legal advice. Rather, its purpose is to provide dental professionals with information on current issues in medical/dental errors and patient safety."
"Pros and Cons of Amalgam Versus Composite Restoration, Updated 1st Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 30, 2013","er 6, 2016","Expiration Date: October 5, 2019","For many years, the only available choices for restorations were metal- or ceramic-based materials. However, in the past few decades significant advances have been made in restorative materials and in the bonding systems for retaining a restoration in the prepared tooth. These changes have brought additional direct restorative materials (such as newer generations of composite resins), as well as new indirect restorative materials (such as lithium disilicate and zirconia). This course is designed for dental assistants, dental hygienists, and dentists interested in a review of current materials used for tooth restoration."
"Probiotics and the Oral Cavity, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 2, 2010","27, 2016","Expiration Date: July 26, 2019","Good mental and physical health depends on strong interpersonal relationships, daily exercise, and a balanced, nutritious diet. Factors adversely affecting health include the increased use of antibiotics and other potent pharmaceutical agents, as well as the effects of professional (work-related) and personal stress. There has been a steady growth of interest in, and awareness of, the beneficial effects of certain microorganisms, typically those derived from fermented milk products, on the health and viability of the GI tract. It is now widely accepted that microorganisms such as "
"Preventing Pit and Fissure Caries with Sealants, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 31, 2013","t 15, 2016","Expiration Date: August 14, 2019","The connection between pits and fissures and dental caries has long been recognized, but the diagnosis of carious pits and fissures can often be daunting. Even with newer technologies for caries diagnosis, it is still difficult to chart the progression of the disease since microscopic examination of this type of caries yields considerable variation. Recent research has attempted to evaluate differences in caries detection, conditioning, retention, demineralization/remineralization, shear bond strength, and microleakage, as well as caries progression after the placement of pit and fissure sealants. Further understanding of the pathophysiology of tooth decay, advances in materials, and the importance of proper technique will encourage dentists to more fully incorporate the use of pit and fissure sealants into clinical practice."
"Prescription Drug Abuse Among Dental Patients, Updated 1st Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"nuary 13, 2017","anuary 12, 2020","Original Release Date: March 21, 2014","This basic-level course provides dental providers with an appreciation of the increasing scope of prescription drug abuse in the United States and a recognition that this problem, which crosses boundaries of gender, age, race, and socioeconomic status, is likely to exist within the patient populations they serve."
"Premedication for Dental Procedures, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 31, 2013","t 26, 2016","Expiration Date: August 25, 2019","Dental professionals are routinely involved with the selection and prescription of antibiotics to either therapeutically manage an existing orofacial infection or prevent an infection prophylactically. The three major prophylactic uses of antimicrobial agents in the practice of dentistry are: prophylaxis in patients at risk for development of infective endocarditis (IE), prophylaxis in orthopedic patients, and prophylaxis in patients with compromised immune systems caused by certain diseases or medications."
"Prescription Drug Abuse Among Dental Patients - 3 hours, Updated 1st Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 1, 2013","7, 2016","Expiration Date: June 6, 2019","Abuse of prescription drugs has increased so dramatically in the United States that it has been labeled a national epidemic. For dental patients, pain is often an unavoidable sequela to invasive dental procedures and untreated or long-standing oral disease. Balancing the desire to alleviate pain against the suspicion that the patient may be a drug seeker is just one of the issues that confront dental providers."
"Pennsylvania Child Abuse Recognition and Reporting, 2nd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ay 22, 2017","ay 22, 2020","Frank P. Cervone, JD, MA, ","This course offers an overview of the historically evolving role of mandated reporters and a description of child welfare services in Pennsylvania. It provides  dental professionals with details of the legal requirements imposed on mandated reporters of child abuse. The course defines the statutory (legal) components of child abuse, including what does and does not constitute child abuse. Human trafficking is also addressed, including child labor trafficking and sex trafficking, and the risk factors and warning signs for both. The course provides dental professionals in the Commonwealth of Pennsylvania with the knowledge and tools they need to fulfill their legal responsibility to report suspected child abuse."
"Posttraumatic Stress Disorder: Dental Implications and Management, 2nd Ed.",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 2, 2016","ecember 1, 2019","John F. Kross, MSc, DMD, ","Traumatic events have lasting effects on some individuals, causing repeated re-experiences of the events as nightmares or flashbacks, and even coping mechanisms such as avoidance of trauma-related stimuli, numbed responsiveness, and increased alertness to surroundings. These symptoms describe a condition known as posttraumatic stress disorder (PTSD), which often follows the experience or witnessing of life-threatening events such as terrorist incidents, military combat, natural disasters, serious accidents, or violent personal assaults. Such experiences are quite common and have been identified throughout recorded human history."
